word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
physicality,n,FND.body,0.940989,0.919276,EXS.life,0.021713,0.021713,EXS.life,7.737086,0.5257
purification,n,FND.transformation,0.874196,0.852482,STA.healing,0.021714,0.021714,STA.healing,7.551621,0.667
vitrify,v,EXS.matter,0.829833,0.898572,FND.transformation,-0.068739,0.021733,PRP.soft,12.213144,0.6565
ravishing,adj,VAL.beauty,0.932418,0.910683,PER.sweet,0.021735,0.021735,PER.sweet,7.167247,0.5337
birth,v,ACT.create,0.858267,0.847617,EXS.being,0.01065,0.021749,CHG.begin,15.502234,0.3983
compound,n,ACT.build,0.883519,0.861723,COG.separate,0.021796,0.021796,COG.separate,13.780135,0.4864
inducive,adj,ACT.make,0.863323,0.841508,ACT.build,0.021816,0.021815,ACT.build,6.367378,0.3746
mutative,adj,FND.transformation,0.777743,0.755917,CHG.end,0.021826,0.021826,CHG.end,11.658478,0.6295
resplendence,n,VAL.beauty,0.929537,0.90771,PER.soundless,0.021827,0.021827,PER.soundless,7.907342,0.5192
righteousness,n,VAL.good,0.958598,0.93676,ABS.responsibility,0.021838,0.021838,ABS.responsibility,5.867673,0.6264
tranquilize,v,ACT.calm,0.925398,0.903533,SOC.praise,0.021865,0.021865,SOC.praise,7.614752,0.7245
unsightliness,n,VAL.ugliness,0.886245,0.86438,PER.tasteless,0.021866,0.021865,PER.tasteless,8.904319,0.5411
preteen,n,PRP.young,0.915393,0.895226,WLD.unskilled,0.020167,0.021884,EMO.desire,7.333859,0.6327
desolation,n,ACT.destroy,0.885148,0.863245,PRP.dark,0.021903,0.021903,PRP.dark,10.126445,0.5833
eat on,v,EMO.anxiety,0.869773,0.859248,FND.memoryless,0.010525,0.021925,EMO.unhappiness,12.449314,0.4621
gleeful,adj,EMO.happiness,0.930432,0.908507,EMO.joy,0.021925,0.021925,EMO.joy,7.832381,0.5787
walk away,v,ACT.leave,0.953266,0.93134,PRP.soft,0.021926,0.021926,PRP.soft,7.609466,0.4948
lenify,v,PRP.soft,0.881077,0.873989,STA.healing,0.007089,0.021929,MAT.bare_hand,7.773791,0.6766
troublous,adj,EMO.worry,0.959138,0.937205,ABS.foolish,0.021933,0.021933,ABS.foolish,3.830261,0.6348
execration,n,SOC.criticize,0.964327,0.942392,EMO.hate,0.021936,0.021935,EMO.hate,5.816828,0.4892
painted daisy,n,NAT.flower,0.916074,0.894136,NAT.tree,0.021937,0.021938,NAT.tree,10.183228,0.5916
female,adj,EXS.being,0.891668,0.869688,EXS.presence,0.02198,0.02198,EXS.presence,6.926986,0.4305
chisel-like,adj,PRP.sharp,0.938275,0.926989,ACT.rise,0.011286,0.021983,PRP.long,12.256789,0.5636
decay,v,CHG.decay,0.911183,0.889198,ACT.destroy,0.021985,0.021985,ACT.destroy,10.462148,0.4782
sore,adj,EMO.anger,0.931435,0.909446,EMO.hate,0.021989,0.021989,EMO.hate,12.844932,0.4432
stroll,v,ACT.go,0.889275,0.88328,PRP.blunt,0.005995,0.022018,ACT.sit,8.128429,0.6735
mutter,n,BOD.mouth,0.91278,0.946251,PER.taste,-0.033472,0.022038,PRP.fast,8.743803,0.5574
viziership,n,SOC.official,0.900843,0.878788,SOC.citizen,0.022055,0.022055,SOC.citizen,10.342593,0.5307
flavorless,adj,PER.tasteless,0.987042,0.964974,PRP.weak,0.022068,0.022068,PRP.weak,7.420213,0.5841
exempt,adj,ABS.exempt,0.93386,0.897452,SOC.stateless,0.036407,0.022069,REL.alone,12.418956,0.5805
scalar,adj,FND.number,0.872494,0.850423,COG.remember,0.022071,0.022071,COG.remember,9.293708,0.4877
waste matter,n,ECO.waste,0.929556,0.907483,PRP.dark,0.022074,0.022073,PRP.dark,6.990185,0.7603
hairlike,adj,PRP.narrow,0.944861,0.922779,PRP.rough,0.022083,0.022082,PRP.rough,3.520909,0.3795
male,adj,SOC.individual,0.880243,0.931416,FND.consciousness,-0.051173,0.022087,BEI.male,8.590991,0.5903
uncultivated,adj,WLD.uncultured,0.924836,0.902748,ABS.foolish,0.022087,0.022088,ABS.foolish,4.351426,0.3122
pulverize,v,EXS.matter,0.849186,0.91911,ACT.dissolve,-0.069923,0.022099,PRP.dry,11.401736,0.648
shaded,adj,PRP.murky,0.927667,0.905567,PRP.dark,0.022099,0.0221,PRP.dark,6.12039,0.4493
amboyna,n,NAT.tree,0.969598,0.947492,MAT.tool,0.022107,0.022106,MAT.tool,4.393053,0.6897
asthmatic,adj,STA.illness,0.880691,0.858579,STA.poverty,0.022112,0.022112,STA.poverty,10.47802,0.5035
lousiness,n,PRP.dirty,0.975333,0.953202,PER.stench,0.022132,0.022131,PER.stench,3.611974,0.5812
peroration,n,CHG.end,0.80806,0.785927,FND.logic,0.022133,0.022132,FND.logic,9.378623,0.5693
loamy,adj,ELM.earth,0.877929,0.855794,ELM.water,0.022134,0.022135,ELM.water,5.458916,0.8162
solid-state,adj,PRP.hard,0.826793,0.864485,NAT.sea,-0.037692,0.022169,PRP.cold,8.310261,0.5811
pick apart,v,SOC.criticize,0.869962,0.847786,COM.conflict,0.022176,0.022176,COM.conflict,6.65468,0.5649
hobbyist,n,WLD.unskilled,0.83806,0.887129,PRP.easy,-0.049069,0.022177,SOC.individual,8.009766,0.9031
